11000,Alan Rickman,40000,Johnny Depp,Alice in Wonderland ,Anne Hathaway,2010,25000
560,Kelsey Grammer,20000,Hugh Jackman,X-Men: The Last Stand ,Daniel Cudmore,2006,808
760,Tyler Labine,12000,Steve Buscemi,Monsters University ,Sean Hayes,2013,779
464,Kevin Dunn,894,Glenn Morshower,Transformers: Revenge of the Fallen ,Ramon Rodriguez,2009,581
808,Sophia Myles,974,Bingbing Li,Transformers: Age of Extinction ,Kelsey Grammer,2014,956
11000,Mila Kunis,44000,Tim Holmes,Oz the Great and Powerful ,James Franco,2013,15000
825,Andrew Garfield,15000,Emma Stone,The Amazing Spider-Man 2 ,B.J. Novak,2014,10000
1000,Olivia Wilde,12000,Jeff Bridges,TRON: Legacy ,James Frain,2010,10000
776,Thomas Kretschmann,1000,Joe Mantegna,Cars 2 ,Eddie Izzard,2011,919
326,Temuera Morrison,16000,Ryan Reynolds,Green Lantern ,Taika Waititi,2011,368
721,John Ratzenberger,15000,Tom Hanks,Toy Story 3 ,Don Rickles,2010,1000
988,Bryce Dallas Howard,23000,Christian Bale,Terminator Salvation ,Common,2009,3000
14000,Paul Walker,26000,Jason Statham,Furious 7 ,Vin Diesel,2015,23000
1000,Brad Pitt,17000,Peter Capaldi,World War Z ,Mireille Enos,2013,11000
20000,Peter Dinklage,34000,Jennifer Lawrence,X-Men: Days of Future Past ,Hugh Jackman,2014,22000
928,Bruce Greenwood,19000,Benedict Cumberbatch,Star Trek Into Darkness ,Noel Clarke,2013,981
140,Ewen Bremner,979,Eddie Marsan,Jack the Giant Slayer ,Ralph Brown,2013,557
77,Elizabeth Debicki,29000,Leonardo DiCaprio,The Great Gatsby ,Steve Bisley,2013,509
236,Richard Coyle,15000,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,Reece Ritchie,2010,567
919,Clifton Collins Jr.,16000,Charlie Hunnam,Pacific Rim ,Larry Joe Campbell,2013,968
581,Lester Speight,894,Glenn Morshower,Transformers: Dark of the Moon ,Kevin Dunn,2011,829
1000,Ray Winstone,11000,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,Jim Broadbent,2008,1000
113,Jack McGraw,275,A.J. Buckley,The Good Dinosaur ,Peter Sohn,2015,150
838,John Ratzenberger,2000,Kelly Macdonald,Brave ,Julie Walters,2012,1000
105,Melissa Roxburgh,998,Sofia Boutella,Star Trek Beyond ,Lydia Wilson,2016,119
522,Fred Willard,1000,John Ratzenberger,WALL·E ,Jeff Garlin,2008,729
173,Dana Ivey,268,Tzi Ma,Rush Hour 3 ,Noémie Lenoir,2007,268
310,Liam James,1000,Oliver Platt,2012 ,Tom McCarthy,2009,468
10000,Colin Firth,18000,Robin Wright,A Christmas Carol ,Gary Oldman,2009,14000
13000,Mila Kunis,17000,Channing Tatum,Jupiter Ascending ,Eddie Redmayne,2015,15000
103,Alexander Skarsgård,11000,Christoph Waltz,The Legend of Tarzan ,Casper Crump,2016,10000
82,Kiran Shah,1000,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Shane Rangi,2005,190
1000,Michael Fassbender,34000,Jennifer Lawrence,X-Men: Apocalypse ,Tye Sheridan,2016,13000
11000,Heath Ledger,23000,Christian Bale,The Dark Knight ,Morgan Freeman,2008,13000
262,Delroy Lindo,1000,John Ratzenberger,Up ,Jess Harnell,2009,848
459,Rainn Wilson,1000,Amy Poehler,Monsters vs. Aliens ,Stephen Colbert,2009,973
4000,Jeff Bridges,21000,Robert Downey Jr.,Iron Man ,Jon Favreau,2008,12000
1000,Christopher Lee,17000,Chloë Grace Moretz,Hugo ,Ray Winstone,2011,16000
582,Salma Hayek,10000,Will Smith,Wild Wild West ,Bai Ling,1999,4000
595,Brendan Fraser,5000,Jet Li,The Mummy: Tomb of the Dragon Emperor ,Russell Wong,2008,3000
329,Robin Atkin Downes,10000,Will Smith,Suicide Squad ,Ike Barinholtz,2016,336
7000,Morgan Freeman,87000,Jimmy Bennett,Evan Almighty ,Steve Carell,2007,11000
509,Lara Pulver,10000,Tom Cruise,Edge of Tomorrow ,Noah Taylor,2014,854
60,Rick Aviles,711,Jeanne Tripplehorn,Waterworld ,Zakes Mokae,1995,60
570,Dennis Quaid,23000,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,Leo Howard,2009,2000
384,Mindy Kaling,1000,Amy Poehler,Inside Out ,Phyllis Smith,2015,767
591,Bill Murray,19000,Scarlett Johansson,The Jungle Book ,Garry Shandling,2016,13000
4000,Scarlett Johansson,21000,Robert Downey Jr.,Iron Man 2 ,Jon Favreau,2010,19000
11000,Kristen Stewart,26000,Chris Hemsworth,Snow White and the Huntsman ,Sam Claflin,2012,17000
846,Sharlto Copley,11000,Angelina Jolie Pitt,Maleficent ,Sam Riley,2014,2000
884,Judy Greer,10000,Gary Oldman,Dawn of the Planet of the Apes ,Kodi Smit-McPhee,2014,2000
283,Alice Englert,622,Tamsin Egerton,The Lovers ,Bipasha Basu,2015,525
982,Cary-Hiroyuki Tagawa,18000,Keanu Reeves,47 Ronin ,Jin Akanishi,2013,1000
2000,Chris Evans,19000,Scarlett Johansson,Captain America: The Winter Soldier ,Hayley Atwell,2014,11000
213,Kathy Griffin,4000,Jon Hamm,Shrek Forever After ,Mary Kay Place,2010,225
604,Chris Bauer,2000,Judy Greer,Tomorrowland ,Thomas Robinson,2015,638
562,Daniel Henney,756,Damon Wayans Jr.,Big Hero 6 ,Abraham Benrubi,2014,719
833,Sarah Silverman,975,Jack McBrayer,Wreck-It Ralph ,Joe Lo Truglio,2012,931
267,Eddie Deezen,15000,Tom Hanks,The Polar Express ,Peter Scolari,2004,726
535,Sela Ward,890,Vivica A. Fox,Independence Day: Resurgence ,Judd Hirsch,2016,812
759,America Ferrera,18000,Gerard Butler,How to Train Your Dragon ,Craig Ferguson,2010,953
191,M.C. Gainey,648,Nick Stahl,Terminator 3: Rise of the Machines ,Carolyn Hennesy,2003,284
3000,Vin Diesel,14000,Bradley Cooper,Guardians of the Galaxy ,Djimon Hounsou,2014,14000
6000,Anne Hathaway,11000,Matthew McConaughey,Interstellar ,Mackenzie Foy,2014,11000
23000,Tom Hardy,29000,Leonardo DiCaprio,Inception ,Joseph Gordon-Levitt,2010,27000
12,Shin'ya Tsukamoto,544,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda,2016,106
773,Adam Brown,5000,Aidan Turner,The Hobbit: An Unexpected Journey ,James Nesbitt,2012,972
4000,Vin Diesel,23000,Paul Walker,The Fast and the Furious ,Jordana Brewster,2001,14000
919,Jason Flemyng,11000,Brad Pitt,The Curious Case of Benjamin Button ,Julia Ormond,2008,1000
1000,Michael Fassbender,34000,Jennifer Lawrence,X-Men: First Class ,Oliver Platt,2011,13000
14000,Philip Seymour Hoffman,34000,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,Josh Hutcherson,2015,22000
370,Omar Benson Miller,12000,Nicolas Cage,The Sorcerer's Apprentice ,Robert Capron,2010,418
702,Mike Vogel,87000,Jimmy Bennett,Poseidon ,Andre Braugher,2006,2000
11000,Alan Rickman,40000,Johnny Depp,Alice Through the Looking Glass ,Anne Hathaway,2016,25000
692,Eric Idle,3000,Justin Timberlake,Shrek the Third ,Rupert Everett,2007,795
648,Callum Rennie,3000,Dominic Cooper,Warcraft ,Ruth Negga,2016,716
2000,Emilia Clarke,24000,J.K. Simmons,Terminator Genisys ,Matt Smith,2015,10000
59,Shane Rangi,531,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Laura Brent,2010,82
691,Jaime King,3000,Jennifer Garner,Pearl Harbor ,Mako,2001,961
581,Michael O'Neill,662,Zack Ward,Transformers ,Kevin Dunn,2007,599
591,Angelina Jolie Pitt,12000,Anthony Hopkins,Alexander ,Brian Blessed,2004,11000
687,Daniel Radcliffe,21000,Robert Pattinson,Harry Potter and the Order of the Phoenix ,Fiona Shaw,2007,11000
10000,Daniel Radcliffe,21000,Robert Pattinson,Harry Potter and the Goblet of Fire ,Rupert Grint,2005,11000
979,Charlize Theron,10000,Will Smith,Hancock ,Eddie Marsan,2008,9000
558,Alice Braga,10000,Will Smith,I Am Legend ,Willow Smith,2007,1000
588,Christopher Lee,40000,Johnny Depp,Charlie and the Chocolate Factory ,David Kelly,2005,16000
954,John Ratzenberger,1000,Janeane Garofalo,Ratatouille ,Brian Dennehy,2007,1000
11000,Liam Neeson,23000,Christian Bale,Batman Begins ,Morgan Freeman,2005,14000
436,Jada Pinkett Smith,1000,Bernie Mac,Madagascar: Escape 2 Africa ,Cedric the Entertainer,2008,851
1000,Rami Malek,49000,Robin Williams,Night at the Museum: Battle of the Smithsonian ,Steve Coogan,2009,3000
2000,Ryan Reynolds,20000,Hugh Jackman,X-Men Origins: Wolverine ,Dominic Monaghan,2009,16000
233,Collin Chou,309,Essie Davis,The Matrix Revolutions ,Nona Gaye,2003,269
490,Maurice LaMarche,1000,Josh Gad,Frozen ,Livvy Stubenrauch,2013,523
30,Daniel Bernhardt,234,Steve Bastoni,The Matrix Reloaded ,Helmut Bakaitis,2003,198
12000,Natalie Portman,26000,Chris Hemsworth,Thor: The Dark World ,Anthony Hopkins,2013,20000
943,Charlize Theron,27000,Tom Hardy,Mad Max: Fury Road ,Zoë Kravitz,2015,9000
294,Ayelet Zurer,15000,Tom Hanks,Angels & Demons ,Armin Mueller-Stahl,2009,745
12000,Natalie Portman,26000,Chris Hemsworth,Thor ,Anthony Hopkins,2011,20000
699,Diedrich Bader,17000,Chloë Grace Moretz,Bolt ,James Lipton,2008,759
182,Piper Mackenzie Harris,730,Kelli Garner,G-Force ,Niecy Nash,2009,607
502,Edgar Ramírez,14000,Liam Neeson,Wrath of the Titans ,Lily James,2012,897
16000,Chloë Grace Moretz,40000,Johnny Depp,Dark Shadows ,Christopher Lee,2012,17000
641,Jeremy Renner,10000,Tom Cruise,Mission: Impossible - Rogue Nation ,Sean Harris,2015,10000
162,Simon Merrells,12000,Anthony Hopkins,The Wolfman ,Art Malik,2010,490
103,Alexander Skarsgård,11000,Christoph Waltz,The Legend of Tarzan ,Casper Crump,2016,10000
826,Oprah Winfrey,2000,Matthew Broderick,Bee Movie ,Rip Torn,2007,852
15,Gary Oldman,11000,Angelina Jolie Pitt,Kung Fu Panda 2 ,Mike Bell,2011,10000
346,Noah Ringer,1000,Seychelle Gabriel,The Last Airbender ,Aasif Mandvi,2010,756
979,Tom Cruise,22000,Philip Seymour Hoffman,Mission: Impossible III ,Eddie Marsan,2006,10000
256,Jake Weber,17000,Channing Tatum,White House Down ,Matt Craven,2013,551
433,Dan Fogler,921,Elisabeth Harnois,Mars Needs Moms ,Tom Everett Scott,2011,562
586,Kate Winslet,20000,Hugh Jackman,Flushed Away ,David Suchet,2006,14000
394,Cara Delevingne,20000,Hugh Jackman,Pan ,Nonso Anozie,2015,548
517,Zach Callison,3000,Ty Burrell,Mr. Peabody & Sherman ,Karan Brar,2014,1000
844,Orlando Bloom,11000,Brad Pitt,Troy ,Julian Glover,2004,5000
436,Martin Short,851,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,Cedric the Entertainer,2012,770
746,Colin Salmon,769,Toby Stephens,Die Another Day ,Rick Yune,2002,766
322,Kate McKinnon,783,Ed Begley Jr.,Ghostbusters ,Zach Woods,2016,370
537,Steve Buscemi,13000,Bruce Willis,Armageddon ,Will Patton,1998,12000
826,Rosario Dawson,10000,Will Smith,Men in Black II ,Rip Torn,2002,3000
964,Anthony Hopkins,18000,Robin Wright,Beowulf ,Sebastian Roché,2007,12000
967,Angelina Jolie Pitt,24000,J.K. Simmons,Kung Fu Panda 3 ,Wayne Knight,2016,11000
690,Jeremy Renner,10000,Tom Cruise,Mission: Impossible - Ghost Protocol ,Michael Nyqvist,2011,10000
161,Kamil McFadden,20000,Hugh Jackman,Rise of the Guardians ,Khamani Griffin,2012,315
233,Richard Burgi,957,John Michael Higgins,Fun with Dick and Jane ,David Herman,2005,550
445,Tony Goldwyn,10000,Tom Cruise,The Last Samurai ,Chad Lindberg,2003,956
748,María Valverde,23000,Christian Bale,Exodus: Gods and Kings ,Ben Mendelsohn,2014,893
981,Leonard Nimoy,26000,Chris Hemsworth,Star Trek ,Bruce Greenwood,2009,12000
4000,James Franco,24000,J.K. Simmons,Spider-Man ,Kirsten Dunst,2002,11000
953,Djimon Hounsou,18000,Gerard Butler,How to Train Your Dragon 2 ,America Ferrera,2014,3000
284,Elodie Yung,18000,Gerard Butler,Gods of Egypt ,Bryan Brown,2016,934
653,Joe Morton,820,Sam Shepard,Stealth ,Richard Roxburgh,2005,780
413,Billy Crudup,986,Matt Frewer,Watchmen ,Stephen McHattie,2009,745
91,Rene Russo,5000,Jet Li,Lethal Weapon 4 ,Darlene Love,1998,808
258,Regi Davis,820,Kevin Rankin,Hulk ,Celia Weston,2003,300
934,Dwayne Johnson,17000,Channing Tatum,G.I. Joe: Retaliation ,Elodie Yung,2013,12000
848,Rainn Wilson,11000,Matthew McConaughey,Sahara ,Delroy Lindo,2005,973
422,Ming-Na Wen,12000,Steve Buscemi,Final Fantasy: The Spirits Within ,Jean Simmons,2001,2000
2000,Dominic Cooper,11000,Chris Evans,Captain America: The First Avenger ,Hayley Atwell,2011,3000
244,Maria Grazia Cucinotta,766,Colin Salmon,The World Is Not Enough ,Desmond Llewelyn,1999,536
168,Lee Ingleby,613,James D'Arcy,Master and Commander: The Far Side of the World ,David Threlfall,2003,172
12000,Kristen Stewart,21000,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner,2012,17000
988,Brad Pitt,49000,Robin Williams,Happy Feet 2 ,Common,2011,11000
882,Peter Mensah,3000,Ty Burrell,The Incredible Hulk ,William Hurt,2008,1000
184,Philip Michael Thomas,982,Don Johnson,Miami Vice             ,John Diehl,,321
358,Penelope Wilton,535,Mark Rylance,The BFG ,Rafe Spall,2016,400
733,Tom Hardy,29000,Leonardo DiCaprio,The Revenant ,Lukas Haas,2015,27000
463,Snoop Dogg,16000,Ryan Reynolds,Turbo ,Ben Schwartz,2013,881
939,Ray Winstone,40000,Johnny Depp,Rango ,Stephen Root,2011,1000
179,Annet Mahendru,19000,Benedict Cumberbatch,Penguins of Madagascar ,Andy Richter,2014,411
883,Edgar Ramírez,13000,Matt Damon,The Bourne Ultimatum ,Albert Finney,2007,897
562,Wayne Knight,11000,Angelina Jolie Pitt,Kung Fu Panda ,Dan Fogler,2008,967
680,Hayley Atwell,2000,Judy Greer,Ant-Man ,T.I.,2015,2000
523,Josh Hutcherson,34000,Jennifer Lawrence,The Hunger Games: Catching Fire ,Sandra Ellis Lafferty,2013,14000
12000,Kristen Stewart,21000,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner,2012,17000
183,Matt Jones,17000,Jim Parsons,Home ,April Winchell,2015,523
807,Lisa Ann Walter,10000,Tom Cruise,War of the Worlds ,Rick Gonzalez,2005,1000
877,Henry Rollins,10000,Will Smith,Bad Boys II ,Jordi Mollà,2003,898
397,Constance Marie,4000,Salma Hayek,Puss in Boots ,Amy Sedaris,2011,442
282,Andre Braugher,11000,Angelina Jolie Pitt,Salt ,August Diehl,2010,702
8000,Emma Watson,12000,Anthony Hopkins,Noah ,Logan Lerman,2014,9000
845,Mackenzie Crook,2000,Toby Jones,The Adventures of Tintin ,Tony Curran,2011,871
10000,Gary Oldman,11000,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,Rupert Grint,2004,10000
165,Bryan Brown,309,Essie Davis,Australia ,Eddie Baroo,2008,284
894,Zoë Kravitz,10000,Will Smith,After Earth ,Glenn Morshower,2013,943
388,D.B. Sweeney,1000,Alfre Woodard,Dinosaur ,Della Reese,2000,558
159,Dave Legeno,10000,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,Ralph Ineson,2011,570
1000,Rami Malek,49000,Robin Williams,Night at the Museum: Secret of the Tomb ,Steve Coogan,2014,3000
8000,Brad Pitt,24000,J.K. Simmons,Megamind ,Will Ferrell,2010,11000
645,Fiona Shaw,11000,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,Verne Troyer,2001,687
1000,Jeff Bridges,16000,Ryan Reynolds,R.I.P.D. ,Stephanie Szostak,2013,12000
12,Shin'ya Tsukamoto,544,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda,2016,106
1000,Orlando Bloom,40000,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,Jack Davenport,2003,5000
1000,Toby Jones,10000,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,Alfred Enoch,2010,2000
14000,Philip Seymour Hoffman,34000,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,Josh Hutcherson,2014,22000
362,Seth Gabel,15000,Tom Hanks,The Da Vinci Code ,Jürgen Prochnow,2006,574
56,Rachel Crow,688,Miguel Ferrer,Rio 2 ,Jeffrey Garcia,2014,237
346,Bruce Davison,20000,Hugh Jackman,X-Men 2 ,Aaron Stanford,2003,505
12000,Vin Diesel,23000,Paul Walker,Fast Five ,Dwayne Johnson,2011,14000
154,Eddie Marsan,21000,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,Paul Anderson,2011,979
850,Jason Flemyng,14000,Liam Neeson,Clash of the Titans ,Alexa Davalos,2010,1000
217,Rachel Ticotin,605,Ronny Cox,Total Recall ,Marshall Bell,1990,308
241,Vladimir Kulich,845,Tony Curran,The 13th Warrior ,Clive Russell,1999,372
602,Scott Glenn,10000,Jeremy Renner,The Bourne Legacy ,Stacy Keach,2012,826
409,Vivica A. Fox,920,Michael Gough,Batman & Robin ,John Glover,1997,890
636,T.J. Thyne,1000,Clint Howard,How the Grinch Stole Christmas ,Molly Shannon,2000,722
812,Dennis Quaid,15000,Jake Gyllenhaal,The Day After Tomorrow ,Sela Ward,2004,2000
653,Dougray Scott,10000,Tom Cruise,Mission: Impossible II ,Richard Roxburgh,2000,794
461,Mary Elizabeth Mastrantonio,784,Karen Allen,The Perfect Storm ,Bob Gunton,2000,638
702,Ioan Gruffudd,11000,Chris Evans,Fantastic 4: Rise of the Silver Surfer ,Andre Braugher,2007,2000
341,Rafe Spall,774,Suraj Sharma,Life of Pi ,Tabu,2012,358
402,Matt Long,12000,Nicolas Cage,Ghost Rider ,Peter Fonda,2007,701
265,Riz Ahmed,13000,Matt Damon,Jason Bourne ,Ato Essandoh,2016,365
1000,Bernie Mac,2000,Demi Moore,Charlie's Angels: Full Throttle ,Justin Theroux,2003,1000
641,Charlize Theron,13000,Michael Fassbender,Prometheus ,Sean Harris,2012,9000
537,Brad Garrett,886,Nathan Lane,Stuart Little 2 ,Melanie Griffith,2002,799
1000,Sharlto Copley,13000,Matt Damon,Elysium ,Alice Braga,2013,2000
567,Alexa Davalos,14000,Vin Diesel,The Chronicles of Riddick ,Christina Cox,2004,850
1000,Abbie Cornish,10000,Gary Oldman,RoboCop ,Jennifer Ehle,2014,2000
87,Kick Gurry,690,Scott Porter,Speed Racer ,Nicholas Elia,2008,107
157,Domenick Lombardozzi,273,Shelley Conn,How Do You Know ,Teyonah Parris,2010,216
877,Marc Blucas,10000,Tom Cruise,Knight and Day ,Jordi Mollà,2010,973
1000,Tom Cruise,11000,Morgan Freeman,Oblivion ,Zoë Bell,2013,10000
4000,Christopher Lee,20000,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,Hayden Christensen,2005,16000
4000,Christopher Lee,20000,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,Hayden Christensen,2002,16000
773,John Ratzenberger,12000,Steve Buscemi,"Monsters, Inc. ",James Coburn,2001,1000
929,Tao Okamoto,20000,Hugh Jackman,The Wolverine ,Rila Fukushima,2013,992
1000,Liam Neeson,20000,Natalie Portman,Star Wars: Episode I - The Phantom Menace ,Ian McDiarmid,1999,14000
12000,Emma Stone,16000,Ryan Reynolds,The Croods ,Nicolas Cage,2013,15000
141,Santiago Segura,936,Alain Delon,Asterix at the Olympic Games ,Vanessa Hessler,2008,276
617,Roger Willie,12000,Nicolas Cage,Windtalkers ,Noah Emmerich,2002,836
9000,Sam Claflin,26000,Chris Hemsworth,The Huntsman: Winter's War ,Charlize Theron,2016,11000
429,Danny Woodburn,833,Noel Fisher,Teenage Mutant Ninja Turtles ,Jeremy Howard,2014,809
13,Basher Savage,39,Phaldut Sharma,Gravity ,Amy Warren,2013,23
268,Grant Heslov,650,Jamie Renée Smith,Dante's Peak ,Tzi Ma,1997,293
799,Noel Fisher,5000,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,Brad Garrett,2016,833
78,Reg E. Cathey,596,Tim Blake Nelson,Fantastic Four ,Tim Heidecker,2015,360
1000,Rami Malek,49000,Robin Williams,Night at the Museum ,Steve Coogan,2006,3000
884,Ioan Gruffudd,12000,Dwayne Johnson,San Andreas ,Archie Panjabi,2015,2000
387,Colin Salmon,811,Vincent Schiavelli,Tomorrow Never Dies ,Joe Don Baker,1997,766
1000,Adam Baldwin,13000,Heath Ledger,The Patriot ,Tom Wilkinson,2000,2000
350,Julia Roberts,11000,Brad Pitt,Ocean's Twelve ,Mini Anden,2004,8000
322,Angelina Jolie Pitt,11000,Brad Pitt,Mr. & Mrs. Smith ,Stephanie March,2005,11000
1000,Theo James,14000,Kate Winslet,Insurgent ,Mekhi Phifer,2015,5000
827,Adam Scott,29000,Leonardo DiCaprio,The Aviator ,Frances Conroy,2004,3000
116,Catherine Tate,480,James Corden,Gulliver's Travels ,Olly Alexander,2010,392
741,Tom Wilkinson,11000,Christoph Waltz,The Green Hornet ,Chad L. Coleman,2011,1000
432,Dirk Benedict,669,George Peppard,The A-Team             ,Dwight Schultz,,554
1000,Sullivan Stapleton,6000,Eva Green,300: Rise of an Empire ,Peter Mensah,2014,1000
111,Tim Gunn,383,Mahadeo Shivraj,The Smurfs ,Madison McKinley,2011,113
421,Roseanne Barr,12000,Steve Buscemi,Home on the Range ,G.W. Bailey,2004,513
943,Theo James,6000,Naomi Watts,Allegiant ,Zoë Kravitz,2016,5000
544,Torey Michael Adkins,20000,Hugh Jackman,Real Steel ,Olga Fonda,2011,929
40,Nancy O'Dell,681,Jacob Tremblay,The Smurfs 2 ,Vanessa Matsui,2013,71
202,Temuera Morrison,673,Jason Patric,Speed 2: Cruise Control ,Lois Chiles,1997,368
430,Moises Arias,11000,Harrison Ford,Ender's Game ,Aramis Knight,2013,635
297,Jonathan Sadowski,13000,Bruce Willis,Live Free or Die Hard ,Cyril Raffaelli,2007,300
857,Orlando Bloom,16000,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,Billy Boyd,2001,5000
447,Steve Coogan,1000,Jim Broadbent,Around the World in 80 Days ,Cécile De France,2004,1000
780,Jada Pinkett Smith,10000,Will Smith,Ali ,Joe Morton,2001,851
434,Kelly Preston,760,Sean Hayes,The Cat in the Hat ,Spencer Breslin,2003,743
466,Bruce Greenwood,10000,Will Smith,"I, Robot ",Chi McBride,2004,981
195,Orlando Bloom,14000,Liam Neeson,Kingdom of Heaven ,Philip Glenister,2005,5000
692,Nathan Lane,979,Chazz Palminteri,Stuart Little ,Jeffrey Jones,1999,886
525,Jenifer Lewis,852,Oprah Winfrey,The Princess and the Frog ,Anika Noni Rose,2009,578
372,Donald Glover,13000,Matt Damon,The Martian ,Benedict Wong,2015,801
,,5,Mathew Buck,"10,000 B.C.             ",,,
3000,Steve Buscemi,19000,Scarlett Johansson,The Island ,Djimon Hounsou,2005,12000
591,Warren Beatty,752,Del Zamora,Town & Country ,Garry Shandling,2001,631
3000,Angelina Jolie Pitt,12000,Nicolas Cage,Gone in Sixty Seconds ,Robert Duvall,2000,11000
695,Connie Nielsen,3000,Djimon Hounsou,Gladiator ,Oliver Reed,2000,933
533,Frank Grillo,10000,Tom Cruise,Minority Report ,Jessica Capshaw,2002,798
9000,Rupert Grint,11000,Daniel Radcliffe,Harry Potter and the Chamber of Secrets ,Emma Watson,2002,10000
834,Tobias Menzies,6000,Eva Green,Casino Royale ,Ivana Milicevic,2006,1000
567,Estella Warren,1000,Cary-Hiroyuki Tagawa,Planet of the Apes ,Erick Avari,2001,658
539,Jenette Goldstein,780,Joe Morton,Terminator 2: Judgment Day ,S. Epatha Merkerson,1991,604
1000,Christian Bale,40000,Johnny Depp,Public Enemies ,Stephen Graham,2009,23000
561,Ruby Dee,18000,Denzel Washington,American Gangster ,RZA,2007,782
618,Tia Carrere,2000,Jamie Lee Curtis,True Lies ,Tom Arnold,1994,1000
385,Ramon Rodriguez,18000,Denzel Washington,The Taking of Pelham 1 2 3 ,Michael Rispoli,2009,464
